r,radwave
1.756,-0.007708
1.759,-0.007684
1.762,-0.00766
1.765,-0.007636
1.768,-0.007612
1.771,-0.007588
1.774,-0.007564
1.777,-0.00754
1.78,-0.007516
1.783,-0.007492
1.786,-0.007469
1.789,-0.007445
1.792,-0.007422
1.795,-0.007398
1.798,-0.007375
1.801,-0.007351
1.804,-0.007328
1.807,-0.007305
1.81,-0.007281
1.813,-0.007258
1.816,-0.007235
1.819,-0.007212
1.822,-0.007189
1.825,-0.007166
1.828,-0.007143
1.831,-0.007121
1.834,-0.007098
1.837,-0.007075
1.84,-0.007053
1.843,-0.00703
1.846,-0.007008
1.849,-0.006985
1.852,-0.006963
1.855,-0.00694
1.858,-0.006918
1.861,-0.006896
1.864,-0.006874
1.867,-0.006852
1.87,-0.00683
1.873,-0.006808
1.876,-0.006786
1.879,-0.006764
1.882,-0.006742
1.885,-0.006721
1.888,-0.006699
1.891,-0.006677
1.894,-0.006656
1.897,-0.006634
1.9,-0.006613
1.903,-0.006591
1.906,-0.00657
1.909,-0.006549
1.912,-0.006528
1.915,-0.006507
1.918,-0.006486
1.921,-0.006464
1.924,-0.006444
1.927,-0.006423
1.93,-0.006402
1.933,-0.006381
1.936,-0.00636
1.939,-0.00634
1.942,-0.006319
1.945,-0.006299
1.948,-0.006278
1.951,-0.006258
1.954,-0.006237
1.957,-0.006217
1.96,-0.006197
1.963,-0.006177
1.966,-0.006156
1.969,-0.006136
1.972,-0.006116
1.975,-0.006096
1.978,-0.006076
1.981,-0.006057
1.984,-0.006037
1.987,-0.006017
1.99,-0.005997
1.993,-0.005978
1.996,-0.005958
1.999,-0.005939
2.002,-0.005919
2.005,-0.0059
2.008,-0.005881
2.011,-0.005861
2.014,-0.005842
2.017,-0.005823
2.02,-0.005804
2.023,-0.005785
2.026,-0.005766
2.029,-0.005747
2.032,-0.005728
2.035,-0.005709
2.038,-0.005691
2.041,-0.005672
2.044,-0.005653
2.047,-0.005635
2.05,-0.005616
2.053,-0.005598
2.056,-0.005579
2.059,-0.005561
2.062,-0.005543
2.065,-0.005524
2.068,-0.005506
2.071,-0.005488
2.074,-0.00547
2.077,-0.005452
2.08,-0.005434
2.083,-0.005416
2.086,-0.005398
2.089,-0.00538
2.092,-0.005362
2.095,-0.005345
2.098,-0.005327
2.101,-0.005309
2.104,-0.005292
2.107,-0.005274
2.11,-0.005257
2.113,-0.00524
2.116,-0.005222
2.119,-0.005205
2.122,-0.005188
2.125,-0.005171
2.128,-0.005154
2.131,-0.005136
2.134,-0.005119
2.137,-0.005102
2.14,-0.005086
2.143,-0.005069
2.146,-0.005052
2.149,-0.005035
2.152,-0.005018
2.155,-0.005002
2.158,-0.004985
2.161,-0.004969
2.164,-0.004952
2.167,-0.004936
2.17,-0.004919
2.173,-0.004903
2.176,-0.004887
2.179,-0.004871
2.182,-0.004854
2.185,-0.004838
2.188,-0.004822
2.191,-0.004806
2.194,-0.00479
2.197,-0.004774
2.2,-0.004758
2.203,-0.004742
2.206,-0.004727
2.209,-0.004711
2.212,-0.004695
2.215,-0.00468
2.218,-0.004664
2.221,-0.004649
2.224,-0.004633
2.227,-0.004618
2.23,-0.004602
2.233,-0.004587
2.236,-0.004572
2.239,-0.004556
2.242,-0.004541
2.245,-0.004526
2.248,-0.004511
2.251,-0.004496
2.254,-0.004481
2.257,-0.004466
2.26,-0.004451
2.263,-0.004436
2.266,-0.004421
2.269,-0.004407
2.272,-0.004392
2.275,-0.004377
2.278,-0.004363
2.281,-0.004348
2.284,-0.004334
2.287,-0.004319
2.29,-0.004305
2.293,-0.00429
2.296,-0.004276
2.299,-0.004262
2.302,-0.004247
2.305,-0.004233
2.308,-0.004219
2.311,-0.004205
2.314,-0.004191
2.317,-0.004177
2.32,-0.004163
2.323,-0.004149
2.326,-0.004135
2.329,-0.004121
2.332,-0.004107
2.335,-0.004094
2.338,-0.00408
2.341,-0.004066
2.344,-0.004053
2.347,-0.004039
2.35,-0.004026
2.353,-0.004012
2.356,-0.003999
2.359,-0.003985
2.362,-0.003972
2.365,-0.003959
2.368,-0.003945
2.371,-0.003932
2.374,-0.003919
2.377,-0.003906
2.38,-0.003893
2.383,-0.00388
2.386,-0.003867
2.389,-0.003854
2.392,-0.003841
2.395,-0.003828
2.398,-0.003815
2.401,-0.003802
2.404,-0.00379
2.407,-0.003777
2.41,-0.003764
2.413,-0.003752
2.416,-0.003739
2.419,-0.003726
2.422,-0.003714
2.425,-0.003701
2.428,-0.003689
2.431,-0.003677
2.434,-0.003664
2.437,-0.003652
2.44,-0.00364
2.443,-0.003627
2.446,-0.003615
2.449,-0.003603
2.452,-0.003591
2.455,-0.003579
2.458,-0.003567
2.461,-0.003555
2.464,-0.003543
2.467,-0.003531
2.47,-0.003519
2.473,-0.003507
2.476,-0.003496
2.479,-0.003484
2.482,-0.003472
2.485,-0.003461
2.488,-0.003449
2.491,-0.003437
2.494,-0.003426
2.497,-0.003414
2.5,-0.003403
2.503,-0.003391
2.506,-0.00338
2.509,-0.003369
2.512,-0.003357
2.515,-0.003346
2.518,-0.003335
2.521,-0.003323
2.524,-0.003312
2.527,-0.003301
2.53,-0.00329
2.533,-0.003279
2.536,-0.003268
2.539,-0.003257
2.542,-0.003246
2.545,-0.003235
2.548,-0.003224
2.551,-0.003213
2.554,-0.003203
2.557,-0.003192
2.56,-0.003181
2.563,-0.00317
2.566,-0.00316
2.569,-0.003149
2.572,-0.003138
2.575,-0.003128
2.578,-0.003117
2.581,-0.003107
2.584,-0.003096
2.587,-0.003086
2.59,-0.003076
2.593,-0.003065
2.596,-0.003055
2.599,-0.003045
2.602,-0.003034
2.605,-0.003024
2.608,-0.003014
2.611,-0.003004
2.614,-0.002994
2.617,-0.002984
2.62,-0.002974
2.623,-0.002964
2.626,-0.002954
2.629,-0.002944
2.632,-0.002934
2.635,-0.002924
2.638,-0.002914
2.641,-0.002904
2.644,-0.002894
2.647,-0.002885
2.65,-0.002875
2.653,-0.002865
2.656,-0.002856
2.659,-0.002846
2.662,-0.002836
2.665,-0.002827
2.668,-0.002817
2.671,-0.002808
2.674,-0.002798
2.677,-0.002789
2.68,-0.00278
2.683,-0.00277
2.686,-0.002761
2.689,-0.002752
2.692,-0.002742
2.695,-0.002733
2.698,-0.002724
2.701,-0.002715
2.704,-0.002705
2.707,-0.002696
2.71,-0.002687
2.713,-0.002678
2.716,-0.002669
2.719,-0.00266
2.722,-0.002651
2.725,-0.002642
2.728,-0.002633
2.731,-0.002624
2.734,-0.002616
2.737,-0.002607
2.74,-0.002598
2.743,-0.002589
2.746,-0.002581
2.749,-0.002572
2.752,-0.002563
2.755,-0.002555
2.758,-0.002546
2.761,-0.002537
2.764,-0.002529
2.767,-0.00252
2.77,-0.002512
2.773,-0.002503
2.776,-0.002495
2.779,-0.002486
2.782,-0.002478
2.785,-0.00247
2.788,-0.002461
2.791,-0.002453
2.794,-0.002445
2.797,-0.002437
2.8,-0.002428
2.803,-0.00242
2.806,-0.002412
2.809,-0.002404
2.812,-0.002396
2.815,-0.002388
2.818,-0.00238
2.821,-0.002372
2.824,-0.002364
2.827,-0.002356
2.83,-0.002348
2.833,-0.00234
2.836,-0.002332
2.839,-0.002324
2.842,-0.002316
2.845,-0.002308
2.848,-0.002301
2.851,-0.002293
2.854,-0.002285
2.857,-0.002277
2.86,-0.00227
2.863,-0.002262
2.866,-0.002254
2.869,-0.002247
2.872,-0.002239
2.875,-0.002232
2.878,-0.002224
2.881,-0.002217
2.884,-0.002209
2.887,-0.002202
2.89,-0.002194
2.893,-0.002187
2.896,-0.00218
2.899,-0.002172
2.902,-0.002165
2.905,-0.002158
2.908,-0.00215
2.911,-0.002143
2.914,-0.002136
2.917,-0.002129
2.92,-0.002122
2.923,-0.002114
2.926,-0.002107
2.929,-0.0021
2.932,-0.002093
2.935,-0.002086
2.938,-0.002079
2.941,-0.002072
2.944,-0.002065
2.947,-0.002058
2.95,-0.002051
2.953,-0.002044
2.956,-0.002037
2.959,-0.00203
2.962,-0.002024
2.965,-0.002017
2.968,-0.00201
2.971,-0.002003
2.974,-0.001996
2.977,-0.00199
2.98,-0.001983
2.983,-0.001976
2.986,-0.00197
2.989,-0.001963
2.992,-0.001956
2.995,-0.00195
2.998,-0.001943
3.001,-0.001937
3.004,-0.00193
3.007,-0.001924
3.01,-0.001917
3.013,-0.001911
3.016,-0.001904
3.019,-0.001898
3.022,-0.001891
3.025,-0.001885
3.028,-0.001879
3.031,-0.001872
3.034,-0.001866
3.037,-0.00186
3.04,-0.001853
3.043,-0.001847
3.046,-0.001841
3.049,-0.001835
3.052,-0.001829
3.055,-0.001822
3.058,-0.001816
3.061,-0.00181
3.064,-0.001804
3.067,-0.001798
3.07,-0.001792
3.073,-0.001786
3.076,-0.00178
3.079,-0.001774
3.082,-0.001768
3.085,-0.001762
