Energy,r,wavef,radwave
-0.579689,0.871,-0.01199,-0.013766
-0.579689,0.874,-0.012047,-0.013784
-0.579689,0.877,-0.012104,-0.013802
-0.579689,0.88,-0.01216,-0.013818
-0.579689,0.883,-0.012216,-0.013834
-0.579689,0.886,-0.012271,-0.013849
-0.579689,0.889,-0.012325,-0.013864
-0.579689,0.892,-0.012379,-0.013878
-0.579689,0.895,-0.012432,-0.01389
-0.579689,0.898,-0.012485,-0.013903
-0.579689,0.901,-0.012537,-0.013914
-0.579689,0.904,-0.012588,-0.013925
-0.579689,0.907,-0.012639,-0.013935
-0.579689,0.91,-0.01269,-0.013945
-0.579689,0.913,-0.012739,-0.013953
-0.579689,0.916,-0.012789,-0.013962
-0.579689,0.919,-0.012838,-0.013969
-0.579689,0.922,-0.012886,-0.013976
-0.579689,0.925,-0.012933,-0.013982
-0.579689,0.928,-0.01298,-0.013988
-0.579689,0.931,-0.013027,-0.013992
-0.579689,0.934,-0.013073,-0.013997
-0.579689,0.937,-0.013118,-0.014001
-0.579689,0.94,-0.013163,-0.014004
-0.579689,0.943,-0.013208,-0.014006
-0.579689,0.946,-0.013252,-0.014008
-0.579689,0.949,-0.013295,-0.01401
-0.579689,0.952,-0.013338,-0.01401
-0.579689,0.955,-0.01338,-0.014011
-0.579689,0.958,-0.013422,-0.01401
-0.579689,0.961,-0.013463,-0.01401
-0.579689,0.964,-0.013504,-0.014008
-0.579689,0.967,-0.013544,-0.014006
-0.579689,0.97,-0.013584,-0.014004
-0.579689,0.973,-0.013623,-0.014001
-0.579689,0.976,-0.013662,-0.013998
-0.579689,0.979,-0.0137,-0.013994
-0.579689,0.982,-0.013738,-0.01399
-0.579689,0.985,-0.013775,-0.013985
-0.579689,0.988,-0.013812,-0.013979
-0.579689,0.991,-0.013848,-0.013974
-0.579689,0.994,-0.013884,-0.013967
-0.579689,0.997,-0.013919,-0.013961
-0.579689,1,-0.013954,-0.013954
-0.579689,1.003,-0.013988,-0.013946
-0.579689,1.006,-0.014022,-0.013938
-0.579689,1.009,-0.014055,-0.01393
-0.579689,1.012,-0.014088,-0.013921
-0.579689,1.015,-0.01412,-0.013912
-0.579689,1.018,-0.014152,-0.013902
-0.579689,1.021,-0.014184,-0.013892
-0.579689,1.024,-0.014215,-0.013882
-0.579689,1.027,-0.014245,-0.013871
-0.579689,1.03,-0.014275,-0.013859
-0.579689,1.033,-0.014305,-0.013848
-0.579689,1.036,-0.014334,-0.013836
-0.579689,1.039,-0.014363,-0.013824
-0.579689,1.042,-0.014391,-0.013811
-0.579689,1.045,-0.014419,-0.013798
-0.579689,1.048,-0.014446,-0.013785
-0.579689,1.051,-0.014473,-0.013771
-0.579689,1.054,-0.0145,-0.013757
-0.579689,1.057,-0.014526,-0.013742
-0.579689,1.06,-0.014551,-0.013728
-0.579689,1.063,-0.014577,-0.013713
-0.579689,1.066,-0.014601,-0.013697
-0.579689,1.069,-0.014626,-0.013682
-0.579689,1.072,-0.01465,-0.013666
-0.579689,1.075,-0.014673,-0.01365
-0.579689,1.078,-0.014696,-0.013633
-0.579689,1.081,-0.014719,-0.013616
-0.579689,1.084,-0.014741,-0.013599
-0.579689,1.087,-0.014763,-0.013582
-0.579689,1.09,-0.014785,-0.013564
-0.579689,1.093,-0.014806,-0.013546
-0.579689,1.096,-0.014827,-0.013528
-0.579689,1.099,-0.014847,-0.01351
-0.579689,1.102,-0.014867,-0.013491
-0.579689,1.105,-0.014886,-0.013472
-0.579689,1.108,-0.014905,-0.013453
-0.579689,1.111,-0.014924,-0.013433
-0.579689,1.114,-0.014943,-0.013413
-0.579689,1.117,-0.014961,-0.013394
-0.579689,1.12,-0.014978,-0.013373
-0.579689,1.123,-0.014995,-0.013353
-0.579689,1.126,-0.015012,-0.013332
-0.579689,1.129,-0.015029,-0.013312
-0.579689,1.132,-0.015045,-0.013291
-0.579689,1.135,-0.015061,-0.013269
-0.579689,1.138,-0.015076,-0.013248
-0.579689,1.141,-0.015091,-0.013226
-0.579689,1.144,-0.015106,-0.013204
-0.579689,1.147,-0.01512,-0.013182
-0.579689,1.15,-0.015134,-0.01316
-0.579689,1.153,-0.015148,-0.013138
-0.579689,1.156,-0.015161,-0.013115
-0.579689,1.159,-0.015174,-0.013092
-0.579689,1.162,-0.015186,-0.013069
-0.579689,1.165,-0.015199,-0.013046
-0.579689,1.168,-0.015211,-0.013023
-0.579689,1.171,-0.015222,-0.012999
-0.579689,1.174,-0.015233,-0.012976
-0.579689,1.177,-0.015244,-0.012952
-0.579689,1.18,-0.015255,-0.012928
-0.579689,1.183,-0.015265,-0.012904
-0.579689,1.186,-0.015275,-0.012879
-0.579689,1.189,-0.015285,-0.012855
-0.579689,1.192,-0.015294,-0.012831
-0.579689,1.195,-0.015303,-0.012806
-0.579689,1.198,-0.015312,-0.012781
-0.579689,1.201,-0.01532,-0.012756
-0.579689,1.204,-0.015328,-0.012731
-0.579689,1.207,-0.015336,-0.012706
-0.579689,1.21,-0.015343,-0.01268
-0.579689,1.213,-0.01535,-0.012655
-0.579689,1.216,-0.015357,-0.012629
-0.579689,1.219,-0.015364,-0.012604
-0.579689,1.222,-0.01537,-0.012578
-0.579689,1.225,-0.015376,-0.012552
-0.579689,1.228,-0.015382,-0.012526
-0.579689,1.231,-0.015387,-0.0125
-0.579689,1.234,-0.015392,-0.012473
-0.579689,1.237,-0.015397,-0.012447
-0.579689,1.24,-0.015402,-0.012421
-0.579689,1.243,-0.015406,-0.012394
-0.579689,1.246,-0.01541,-0.012367
-0.579689,1.249,-0.015414,-0.012341
-0.579689,1.252,-0.015417,-0.012314
-0.579689,1.255,-0.01542,-0.012287
-0.579689,1.258,-0.015423,-0.01226
-0.579689,1.261,-0.015426,-0.012233
-0.579689,1.264,-0.015428,-0.012206
-0.579689,1.267,-0.01543,-0.012178
-0.579689,1.27,-0.015432,-0.012151
-0.579689,1.273,-0.015434,-0.012124
-0.579689,1.276,-0.015435,-0.012096
-0.579689,1.279,-0.015436,-0.012069
-0.579689,1.282,-0.015437,-0.012041
-0.579689,1.285,-0.015437,-0.012014
-0.579689,1.288,-0.015438,-0.011986
-0.579689,1.291,-0.015438,-0.011958
-0.579689,1.294,-0.015438,-0.01193
-0.579689,1.297,-0.015437,-0.011902
-0.579689,1.3,-0.015437,-0.011874
-0.579689,1.303,-0.015436,-0.011846
-0.579689,1.306,-0.015435,-0.011818
-0.579689,1.309,-0.015433,-0.01179
-0.579689,1.312,-0.015432,-0.011762
-0.579689,1.315,-0.01543,-0.011734
-0.579689,1.318,-0.015428,-0.011706
-0.579689,1.321,-0.015426,-0.011677
-0.579689,1.324,-0.015423,-0.011649
-0.579689,1.327,-0.015421,-0.011621
-0.579689,1.33,-0.015418,-0.011592
-0.579689,1.333,-0.015415,-0.011564
-0.579689,1.336,-0.015411,-0.011535
-0.579689,1.339,-0.015408,-0.011507
-0.579689,1.342,-0.015404,-0.011478
-0.579689,1.345,-0.0154,-0.01145
-0.579689,1.348,-0.015396,-0.011421
-0.579689,1.351,-0.015392,-0.011393
-0.579689,1.354,-0.015387,-0.011364
-0.579689,1.357,-0.015382,-0.011335
-0.579689,1.36,-0.015377,-0.011307
-0.579689,1.363,-0.015372,-0.011278
-0.579689,1.366,-0.015367,-0.011249
-0.579689,1.369,-0.015361,-0.011221
-0.579689,1.372,-0.015355,-0.011192
-0.579689,1.375,-0.015349,-0.011163
-0.579689,1.378,-0.015343,-0.011134
-0.579689,1.381,-0.015337,-0.011106
-0.579689,1.384,-0.01533,-0.011077
-0.579689,1.387,-0.015324,-0.011048
-0.579689,1.39,-0.015317,-0.011019
-0.579689,1.393,-0.01531,-0.01099
-0.579689,1.396,-0.015303,-0.010962
-0.579689,1.399,-0.015295,-0.010933
-0.579689,1.402,-0.015287,-0.010904
-0.579689,1.405,-0.01528,-0.010875
-0.579689,1.408,-0.015272,-0.010846
-0.579689,1.411,-0.015264,-0.010818
-0.579689,1.414,-0.015255,-0.010789
-0.579689,1.417,-0.015247,-0.01076
-0.579689,1.42,-0.015238,-0.010731
-0.579689,1.423,-0.015229,-0.010702
-0.579689,1.426,-0.015221,-0.010674
-0.579689,1.429,-0.015211,-0.010645
-0.579689,1.432,-0.015202,-0.010616
-0.579689,1.435,-0.015193,-0.010587
-0.579689,1.438,-0.015183,-0.010558
-0.579689,1.441,-0.015173,-0.01053
-0.579689,1.444,-0.015163,-0.010501
-0.579689,1.447,-0.015153,-0.010472
-0.579689,1.45,-0.015143,-0.010444
-0.579689,1.453,-0.015133,-0.010415
-0.579689,1.456,-0.015122,-0.010386
-0.579689,1.459,-0.015112,-0.010358
-0.579689,1.462,-0.015101,-0.010329
-0.579689,1.465,-0.01509,-0.0103
-0.579689,1.468,-0.015079,-0.010272
-0.579689,1.471,-0.015068,-0.010243
-0.579689,1.474,-0.015056,-0.010215
-0.579689,1.477,-0.015045,-0.010186
-0.579689,1.48,-0.015033,-0.010158
-0.579689,1.483,-0.015021,-0.010129
-0.579689,1.486,-0.015009,-0.010101
-0.579689,1.489,-0.014997,-0.010072
-0.579689,1.492,-0.014985,-0.010044
-0.579689,1.495,-0.014973,-0.010015
-0.579689,1.498,-0.014961,-0.009987
-0.579689,1.501,-0.014948,-0.009959
-0.579689,1.504,-0.014935,-0.00993
-0.579689,1.507,-0.014922,-0.009902
-0.579689,1.51,-0.01491,-0.009874
-0.579689,1.513,-0.014896,-0.009846
-0.579689,1.516,-0.014883,-0.009817
-0.579689,1.519,-0.01487,-0.009789
-0.579689,1.522,-0.014857,-0.009761
-0.579689,1.525,-0.014843,-0.009733
-0.579689,1.528,-0.014829,-0.009705
-0.579689,1.531,-0.014816,-0.009677
-0.579689,1.534,-0.014802,-0.009649
-0.579689,1.537,-0.014788,-0.009621
-0.579689,1.54,-0.014774,-0.009593
-0.579689,1.543,-0.014759,-0.009565
-0.579689,1.546,-0.014745,-0.009538
-0.579689,1.549,-0.014731,-0.00951
-0.579689,1.552,-0.014716,-0.009482
-0.579689,1.555,-0.014702,-0.009454
-0.579689,1.558,-0.014687,-0.009427
-0.579689,1.561,-0.014672,-0.009399
-0.579689,1.564,-0.014657,-0.009372
-0.579689,1.567,-0.014642,-0.009344
-0.579689,1.57,-0.014627,-0.009316
-0.579689,1.573,-0.014612,-0.009289
-0.579689,1.576,-0.014596,-0.009262
-0.579689,1.579,-0.014581,-0.009234
-0.579689,1.582,-0.014565,-0.009207
-0.579689,1.585,-0.01455,-0.00918
-0.579689,1.588,-0.014534,-0.009152
-0.579689,1.591,-0.014518,-0.009125
-0.579689,1.594,-0.014502,-0.009098
-0.579689,1.597,-0.014486,-0.009071
-0.579689,1.6,-0.01447,-0.009044
-0.579689,1.603,-0.014454,-0.009017
-0.579689,1.606,-0.014438,-0.00899
-0.579689,1.609,-0.014421,-0.008963
-0.579689,1.612,-0.014405,-0.008936
-0.579689,1.615,-0.014389,-0.008909
